split,sample_id,location,selected,category,figure,iou_water_5sa,iou_water_v3,delta_iou_water,f1_water_5sa,f1_water_v3,viol_frac_5sa,viol_frac_v3,delta_viol_frac,viol_pairs_5sa,viol_pairs_v3,desc_pairs,water_frac_5sa,water_frac_v3
test,India_570384,India,False,,,0.5482762212269555,0.5483323292622816,5.610803532607456e-05,0.7082408341742348,0.708287644582788,0.00280055035796588,0.00220270387731003,-0.0005978464806558502,1321,1039,471693,0.06273553719008264,0.056706611570247936
valid,Paraguay_581976,Paraguay,False,,,0.811033198411341,0.770249433106576,-0.04078376530476502,0.8956580134729596,0.8702157093815649,0.009001605381851541,0.00841296536962006,-0.0005886400122314811,4710,4402,523240,0.5229873657226562,0.47466278076171875
bolivia,Bolivia_129334,Bolivia,True,positive,bolivia_Bolivia_129334.png,0.8944995268343673,0.8971174372832833,0.0026179104489160165,0.9443122198389147,0.9457690068654648,0.0047994765772629636,0.004233439653576794,-0.0005660369236861699,2230,1967,464634,0.6292901174867753,0.6342687983045573
test,India_747992,India,False,,,0.8313347134877543,0.824878708094721,-0.0064560053930333705,0.9079003497995052,0.9040367498790559,0.0061542289985739036,0.005599104143337066,-0.0005551248552368377,3215,2925,522405,0.4467905695437011,0.44358171141643804
test,Spain_7387658,Spain,False,,,0.8228454411799024,0.8138647999164141,-0.008980641263488298,0.9028142733234542,0.8973819878459722,0.007771669460605463,0.007237534102488249,-0.0005341353581172137,3783,3523,486768,0.6084058048439843,0.6085813391743018
test,Somalia_685158,Somalia,False,,,0.7266691257838436,0.7135253495031161,-0.013143776280727493,0.8417004913480026,0.8328156332324146,0.003922183871979918,0.003388216383443705,-0.000533967488536213,1425,1231,363318,0.1424592229003323,0.1390656560172013
bolivia,Bolivia_242570,Bolivia,True,positive,bolivia_Bolivia_242570.png,0.5463169823538935,0.5385207271328267,-0.00779625522106675,0.7066041291511369,0.7000500125031257,0.004620424113556692,0.004106085857134648,-0.0005143382564220447,1608,1429,348020,0.11630305343946395,0.11761354247978713
valid,India_833266,India,False,,,0.4082342100854415,0.39022474361771764,-0.018009466467723834,0.5797816970526128,0.5613836833349028,0.004653029399623905,0.0041645645094711735,-0.0004884648901527311,2029,1816,436060,0.06992634540273314,0.06188716006445915
test,India_79637,India,False,,,0.15376947040498443,0.1442495126705653,-0.009519957734419132,0.26655146344097636,0.252129471890971,0.0016957327249621044,0.0012306502733077124,-0.00046508245165439196,886,643,522488,0.01561737060546875,0.011646270751953125
bolivia,Bolivia_314919,Bolivia,False,,,0.7155285302724923,0.7346652845963709,0.019136754323878624,0.8341785259133391,0.8470398192897669,0.006988337574784061,0.006529778202071831,-0.00045855937271223075,2606,2435,372907,0.3546718208054224,0.36331382880139795
test,Somalia_322855,Somalia,False,,,0.7574336096804457,0.7504837072086742,-0.0069499024717715185,0.8619769253396377,0.8574586602755617,0.005604642610622863,0.005154304660506148,-0.0004503379501167148,2850,2621,508507,0.1844858142124496,0.18287040667492668
valid,Nigeria_1095404,Nigeria,False,,,0.778191257624165,0.7723031050413208,-0.005888152582844142,0.8752615943730412,0.871524856944055,0.0071577352774095816,0.0067132421092496435,-0.00044449316815993803,3591,3368,501695,0.2055865833211116,0.19898288826436977
valid,Sri-Lanka_132922,Sri-Lanka,False,,,0.42988154375238824,0.4138512053918604,-0.016030338360527863,0.601282736504543,0.5854239877769288,0.004188806726618085,0.0037519138017924106,-0.0004368929248256743,2186,1958,521867,0.060405731201171875,0.05677032470703125
valid,Spain_4282030,Spain,False,,,0.8086552152989311,0.7976469531635907,-0.011008262135340452,0.8942060470771133,0.8874344895807833,0.0054378611079642005,0.005006959167489359,-0.00043090194047484126,2688,2475,494312,0.3912705104092354,0.389237113874021
test,Pakistan_528249,Pakistan,False,,,0.0,0.0,0.0,,,0.001827139547782962,0.0014682371366113087,-0.0003589024111716533,280,225,153245,0.021238731131952925,0.013977293393260763
bolivia,Bolivia_312675,Bolivia,False,,,0.4483229625132797,0.46467391304347827,0.016350950530198582,0.6190925285549617,0.634508348794063,0.0031957595223045406,0.002846022787433863,-0.00034973673487067756,996,887,311663,0.06019315477697332,0.06561693078831451
valid,Mekong_474783,Mekong,False,,,0.3903106898367562,0.37404336734693877,-0.016267322489817437,0.561472615710931,0.5444418658621489,0.0022038177845992704,0.0018655040396954794,-0.000338313744903791,1153,976,523183,0.028311568409768083,0.02726624166886033
valid,Mekong_98310,Mekong,False,,,0.932510148849797,0.9327570405403877,0.00024689169059066707,0.9650765864332604,0.9652087882495508,0.002705418566901136,0.0023672412460384942,-0.00033817732086264185,560,490,206992,0.46893653807223246,0.46589447997767697
