split,tile_idx,d8_vf_gt_w,d8_vf_pred_w,d8_H_R_w,d8_H_R_uw,d8_E_gt,d8_E_yhat,d8_E_soft,d8_dE_w,d8_n_active,d4_vf_gt_w,d4_vf_pred_w,d4_H_R_w,d4_E_gt,d4_E_yhat,d4_dE_w,d4_n_active
val,0,0.009538847716844726,0.0008725732427771995,-0.008666274474067526,-0.005247035140694039,0.008608809906581227,0.0007874973423972729,1.0811401889946337e-05,-0.007821312564183953,228510,0.011538911256870277,0.0009146364718413125,-0.010624274785028965,0.010413867008704726,0.0008254594063513362,-0.00958840760235339,460961
val,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261262,0.0,0.0,0.0,0.0,0.0,0.0,523256
val,2,0.0,0.0,0.0,0.0,0.0,0.0,3.802841517152538e-10,0.0,54773,0.0,0.0,0.0,0.0,0.0,0.0,110411
val,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260508,0.0,0.0,0.0,0.0,0.0,0.0,523239
val,4,0.0031341672464286034,0.0004347897737402227,-0.002699377472688381,-0.001660879919537876,0.002828585996309572,0.00039239774335893935,3.6363617270349196e-06,-0.0024361882529506324,259501,0.0031033759882934556,0.0005222460800728856,-0.00258112990822057,0.0028007967367804755,0.0004713270835154834,-0.0023294696532649923,522851
val,5,0.004254398862509994,0.0003811311134580098,-0.0038732677490519846,-0.0033325499593544355,0.0038395948163422863,0.0003439708309942663,3.839532972287632e-06,-0.00349562398534802,259561,0.00405750971862117,0.0003801368003325607,-0.0036773729182886096,0.003661902412770064,0.00034307344968665526,-0.003318828963083409,523247
val,6,0.004869853647942273,0.000894561826333817,-0.003975291821608456,-0.0032573289902280006,0.004395042931446435,0.0008073420346330649,1.196007153725635e-05,-0.0035877008968133698,252354,0.004931779293199513,0.0009635788441388895,-0.003968200449060624,0.004450930682406406,0.0008696299098571757,-0.0035813007725492303,509822
val,7,0.0004134789564834312,0.0006315248084111462,0.00021804585192771505,0.00013991884706869958,0.0003731647032074466,0.0005699510691992955,6.147586109479814e-07,0.00019678636599184887,250145,0.0005005026296992076,0.0005895440516777177,8.904142197851007e-05,0.00045170360437053,0.0005320635023524221,8.035989798189209e-05,504044
val,8,0.013028319072689894,0.006756398376258959,-0.006271920696430935,-0.005949540262797685,0.011758056679683356,0.006097649645890688,0.00026276973405484793,-0.0056604070337926676,31431,0.010823616111733407,0.0056644425537466965,-0.00515917355798671,0.009768313437750916,0.005112158825472378,-0.004656154612278538,62883
val,9,0.00996678020738422,0.0018093349078242902,-0.00815744529955993,-0.015295283954114086,0.008995018846930294,0.0016329245645430605,2.326344122625405e-05,-0.007362094282387233,247135,0.007910532705880075,0.0015450605096268765,-0.006365472196253198,0.007139255524152813,0.0013944170695749311,-0.005744838454577882,499829
val,10,0.008985387701067089,0.0011503202765155694,-0.00783506742455152,-0.013327214490418956,0.00810931177153709,0.001038164041785648,2.8313011112487254e-05,-0.007071147729751442,213548,0.0077649392021287116,0.0011864945513638595,-0.006578444650764852,0.007007857769182955,0.0010708113138193295,-0.005937046455363626,432436
val,11,0.002995895658684168,0.0002813462967738984,-0.0027145493619102697,-0.005644770669548011,0.00270379592137272,0.00025391502320964624,3.92981915232387e-06,-0.0024498808981630736,161034,0.002448823480946769,0.00019014827793593366,-0.0022586752030108355,0.0022100631363788296,0.00017160881394022646,-0.002038454322438603,323397
val,12,0.0006024536153030498,2.238763998311593e-05,-0.0005800659753199339,-0.0012640362305353882,0.0005437143739358835,2.0204845136924228e-05,1.910354229382347e-07,-0.0005235095287989593,257904,0.0004410591981381735,1.3076343463255644e-05,-0.00042798285467491784,0.0003980559252080827,1.1801399444867398e-05,-0.0003862545257632153,516944
val,13,0.01065599341738631,0.004231211372742705,-0.006424782044643605,-0.00638442618661357,0.0096170335784047,0.0038186681928750205,0.0003744860985691277,-0.005798365385529679,95545,0.008875099210911475,0.0037773596215517793,-0.005097739589359695,0.008009776752495876,0.0034090670528988906,-0.004600709699596986,193784
val,14,1.928498507221612e-05,0.0007135444476719965,0.0006942594625997803,0.0006865294031643877,1.7404698905064415e-05,0.0006439738502915859,3.8565470334199756e-05,0.0006265691513865215,157313,2.0779296698763013e-05,0.0006398759036797656,0.0006190966069810025,1.875331455138315e-05,0.0005774879948509831,0.0005587346802995999,314994
