tag,epoch,lambda_epoch,train_loss_total,train_loss_dice,train_loss_ce,train_loss_d8,train_miou,val_miou,val_iou_water,val_f1_water,val_precision,val_recall,val_topo_vf,val_pred_px,eff_d8_contribution,learning_rate,is_best
baseline,1,0.0,1.1280360507965088,0.5206030297279358,0.6074330216646194,0.0,0.44628079973911894,0.34666330982212595,0.18311592015344022,0.309548569221673,0.18703634613154252,0.8972897361241149,0.0019744980973004224,10734705.0,0.0,6e-05,True
baseline,2,0.0,1.0002801179885865,0.48929561376571656,0.5109844985604286,0.0,0.5277503377567165,0.6380839818897293,0.4226829345371781,0.5942053907811635,0.4488809864150356,0.8786747437550416,0.0010286722665889638,4380063.0,0.0,6e-05,True
baseline,3,0.0,0.8675389713048935,0.4580391788482666,0.40949979424476624,0.0,0.5916762818331438,0.6938129019989905,0.4936026189075901,0.6609557490848635,0.5410306245522601,0.8491869655278746,0.0008010127446382547,3512084.0,0.0,6e-05,True
baseline,4,0.0,0.831662203669548,0.43234542369842527,0.3993167817592621,0.0,0.6194860426327848,0.7555399206468121,0.5787804225029765,0.733199391445944,0.6981847623844382,0.7719114857179886,0.0008642730618526523,2473891.0,0.0,6e-05,True
baseline,5,0.0,0.8144942212104798,0.410285005569458,0.4042092189192772,0.0,0.58941328162581,0.7482872870822397,0.5705069686498775,0.7265258671731039,0.6579469325946284,0.8110645087046194,0.0008613752477307658,2758341.0,0.0,6e-05,False
baseline,6,0.0,0.7860498893260955,0.44928938925266265,0.3367605057358742,0.0,0.6005594902682085,0.7231393769794239,0.5356582635030673,0.6976269085820568,0.5926715115007529,0.8477546305089594,0.0010994617258521914,3200660.0,0.0,6e-05,False
baseline,7,0.0,0.7709706562757492,0.43043184399604795,0.34053882002830504,0.0,0.6300915897864222,0.7895582679346014,0.6356084528247077,0.7772134605039578,0.7439718993099474,0.8135645031182894,0.0008746482713426209,2446915.0,0.0,6e-05,True
baseline,8,0.0,0.6977868670225144,0.4220172894001007,0.2757695785164833,0.0,0.6544910848480214,0.7524727202056858,0.5796071905716924,0.7338624362198815,0.6476823461103668,0.8464965889868855,0.0009689824703461765,2924466.0,0.0,6e-05,False
baseline,9,0.0,0.699143797159195,0.4094724225997925,0.28967137560248374,0.0,0.6405726671033453,0.7919995870811833,0.6428364451418871,0.7825933580215494,0.7121505005557252,0.8685018133227268,0.000901918772096803,2728867.0,0.0,6e-05,True
baseline,10,0.0,0.6318311292678118,0.37943870306015015,0.2523924245685339,0.0,0.6767260482279565,0.7998183330688601,0.6524821027803868,0.789699448705135,0.7627007006306842,0.8186797937973861,0.0009518025723378493,2401836.0,0.0,6e-05,True
baseline,11,0.0,0.6560930129140615,0.3987706309556961,0.2573223810642958,0.0,0.6538032654988267,0.790978969024916,0.6420315889205573,0.7819966354515964,0.7022488738554451,0.8821771492287512,0.0009752696920570553,2810918.0,0.0,6e-05,False
baseline,12,0.0,0.6622885841131211,0.3901094651222229,0.2721791167557239,0.0,0.6307697067068163,0.8075310774799661,0.6629457305502846,0.7973149314150012,0.8146700698656925,0.7806838114859415,0.0008591501404586029,2144257.0,0.0,6e-05,True
baseline,13,0.0,0.6060828292369842,0.35921137273311615,0.24687145486474038,0.0,0.680940454211096,0.8186515466793693,0.6819372548566988,0.8108949996648952,0.8305470718717698,0.7921514297653071,0.000796717770136173,2134162.0,0.0,6e-05,True
baseline,14,0.0,0.5834172827005386,0.35404482543468474,0.22937245279550553,0.0,0.6980407703198903,0.7505628952835511,0.5816963100799364,0.7355347627390474,0.6154606047325851,0.9138172286887096,0.0013552973154701722,3322328.0,0.0,6e-05,False
baseline,15,0.0,0.5686845928430557,0.35601139545440674,0.21267319783568384,0.0,0.7217496561873973,0.8190669239788615,0.6846872206030803,0.8128360116104848,0.7939137711813853,0.8326822651897899,0.0010355287017880703,2346872.0,0.0,6e-05,True
baseline,16,0.0,0.6140452414751053,0.3777773028612137,0.23626793995499612,0.0,0.6898163089622462,0.770680512729077,0.6128075666835987,0.7599264529043713,0.6466048501871368,0.9214092746485639,0.0019513155843253302,3188578.0,0.0,6e-05,False
baseline,17,0.0,0.5537757009267807,0.3543835824728012,0.19939211547374724,0.0,0.7169909258577368,0.8332322724335339,0.7080522281579518,0.8290756178124018,0.8271772886593214,0.8309826801423844,0.0008178821625620941,2247899.0,0.0,6e-05,True
