tag,condition,lambda_topo,status,best_epoch,last_epoch,best_val_miou,val_mean_iou,val_iou_water,val_f1_water,val_precision_water,val_recall_water,val_topo_violation_fraction,test_mean_iou,test_iou_water,test_f1_water,test_precision_water,test_recall_water,test_topo_violation_fraction,bolivia_mean_iou,bolivia_iou_water,bolivia_f1_water,bolivia_precision_water,bolivia_recall_water,bolivia_topo_violation_fraction,train_loss_total,train_loss_dice,train_loss_ce,train_loss_topo,lambda_topo_epoch,eff_d8_contribution
segman_n100_dice_ce_seed0,dice_ce,0.0,done,34,49,0.854557434322133,0.854557434322133,0.7448643463537015,0.8537790893719253,0.8504267251241068,0.8571579881167588,0.001121893911956438,0.86146813078978,0.760842125285709,0.8641798311841921,0.8679598262002393,0.8604326174223073,0.001099195702794047,0.8433759926467721,0.7422974286604338,0.8520903680965075,0.835269373956048,0.869602782370115,0.00188701342246587,0.45663244515657425,0.30061790883541106,0.1560145363211632,0.0,0.0,0.0
segman_n100_d8_lambda1p0_seed0,dice_ce_d8,1.0,done,31,46,0.8585988219693044,0.8585988219693044,0.7500294659937705,0.8571620999168256,0.9059573783891279,0.8133544571092753,0.0007754757576891298,0.860009982546774,0.7569300106499931,0.8616507271908453,0.9025918662051167,0.8242625679971287,0.0009108913123841754,0.8419419542500008,0.7363103555738744,0.8481321938905487,0.8960133686961117,0.8051087797671392,0.0015522494693777436,0.438643452078104,0.28910896599292757,0.1495032356120646,3.124895609180611e-05,1.0,7.124506791525255e-05
segman_n100_d8_dem_shuffled_lambda1p0_seed0,dice_ce_d8_dem_shuffled,1.0,done,22,37,0.8401266495923844,0.8401266495923844,0.7177730509181309,0.8357018414446414,0.8869248235802891,0.7900724211824697,0.0006480754296876193,0.8460259366972277,0.7327939035359079,0.8457946464845958,0.8926979839041348,0.8035739824737997,0.0007935647909864134,0.8378843879598303,0.7306488399528116,0.8443640594041408,0.8736646102919049,0.8169650708783285,0.001283796586869374,0.5049911060929299,0.32807170152664183,0.17688147254288197,3.79355877488724e-05,1.0,7.512694185708652e-05
