condition,seed,tag,status,best_epoch,last_epoch,best_val_miou,val_mean_iou,val_iou_background,val_iou_water,val_f1_background,val_f1_water,val_precision_background,val_precision_water,val_recall_background,val_recall_water,val_accuracy,val_macro_f1,val_topo_violation_fraction,val_topo_violation_count,val_water_pred_pixels,val_water_gt_pixels,val_water_pred_ratio,val_water_gt_ratio,val_tp_water,val_fp_water,val_tn_background,val_fn_water,val_ignored_pixels,val_n_pixels_total,test_mean_iou,test_iou_background,test_iou_water,test_f1_background,test_f1_water,test_precision_background,test_precision_water,test_recall_background,test_recall_water,test_accuracy,test_macro_f1,test_topo_violation_fraction,test_topo_violation_count,test_water_pred_pixels,test_water_gt_pixels,test_water_pred_ratio,test_water_gt_ratio,test_tp_water,test_fp_water,test_tn_background,test_fn_water,test_ignored_pixels,test_n_pixels_total,bolivia_mean_iou,bolivia_iou_background,bolivia_iou_water,bolivia_f1_background,bolivia_f1_water,bolivia_precision_background,bolivia_precision_water,bolivia_recall_background,bolivia_recall_water,bolivia_accuracy,bolivia_macro_f1,bolivia_topo_violation_fraction,bolivia_topo_violation_count,bolivia_water_pred_pixels,bolivia_water_gt_pixels,bolivia_water_pred_ratio,bolivia_water_gt_ratio,bolivia_tp_water,bolivia_fp_water,bolivia_tn_background,bolivia_fn_water,bolivia_ignored_pixels,bolivia_n_pixels_total,best_epoch_train_loss_total,best_epoch_train_loss_ce,best_epoch_train_loss_dice,best_epoch_train_loss_topo,best_epoch_lambda_topo_loss,best_epoch_lambda_topo_epoch,best_epoch_val_mean_iou,best_epoch_learning_rate,best_epoch_grad_norm
ce,0,segman_ce_seed0_clean,done,43,58,0.8388371135666957,0.8388371135666957,0.9619083871316828,0.7157658400017085,,0.8343397721462922,,0.8791701765621799,,0.7938595060343537,0.9652424460050579,,0.0008060580460111822,,2020478.0,,,,,,,,,,0.8420066331623748,0.9572482144371209,0.7267650518876286,,0.8417648377735686,,0.8687915834979428,,0.8163688802584154,0.9616133005760437,,0.0009159834289018817,,2411263.0,,,,,,,,,,0.8110270728429402,0.9380734534477297,0.6839806922381506,,0.8123379269023366,,0.892823652129935,,0.7451633894966407,0.9453925723939655,,0.0017048362339376138,,379636.0,,,,,,,,,,0.17425720781087875,0.17425720781087875,0.0,0.0,,0.0,,7.5e-06,
ce,1,segman_ce_seed1,done,52,67,0.8230894973459411,0.8230894973459411,0.9571224287175485,0.6890565659743335,,0.8159070333761743,,0.8470026121540435,,0.7870137937661026,0.9608430269441937,,0.0007388132343791907,,2079127.0,,,,,,,,,,0.8290336704056838,0.9539182672259903,0.7041490735853774,,0.8263937521661889,,0.8659873630916184,,0.7902623474290373,0.9584728878710411,,0.0008097764272468659,,2341712.0,,,,,,,,,,0.7806875299568857,0.9238095991300479,0.6375654607837236,,0.7786747779579947,,0.8153632978262753,,0.7451458018220831,0.9328143551798146,,0.0018417365086829177,,415692.0,,,,,,,,,,0.21295118182897568,0.21295118182897568,0.0,0.0,,0.0,,3.75e-06,
ce,2,segman_ce_seed2,done,31,46,0.8063947240429165,0.8063947240429165,0.9540354245223477,0.6587540235634852,,0.794275720457082,,0.8582286375775652,,0.7391930211096239,0.9577815417553084,,0.000588075153360344,,1927251.0,,,,,,,,,,0.8119009927224452,0.9487031334095207,0.6750988520353698,,0.8060406121287403,,0.8454533631542651,,0.7701388215039081,0.9536441006294814,,0.0008211817290390752,,2337508.0,,,,,,,,,,0.8157837939685688,0.9343073722547446,0.6972602156823929,,0.8216303065844921,,0.8148179377083631,,0.8285575468711527,0.9429405313801622,,0.0013285387339541023,,462534.0,,,,,,,,,,0.1911184471845627,0.1911184471845627,0.0,0.0,,0.0,,7.5e-06,
ce,3,segman_ce_seed3,done,52,67,0.8341049473922588,0.8341049473922588,0.9614372660522376,0.70677262873228,,0.8281977538592722,,0.8941116194833667,,0.7713349764592052,0.9647167921713647,,0.0005351382989551673,,1930344.0,,,,,,,,,,0.8460879852996811,0.9593073120695433,0.7328686585298189,,0.8458444382641108,,0.8935504322666593,,0.8029742399071588,0.9633939871524451,,0.0006640275820206823,,2305984.0,,,,,,,,,,0.8084619542872542,0.937963400871806,0.6789605077027024,,0.808786751788122,,0.9047211047553768,,0.7312471420028844,0.9451585963529726,,0.0011632958242029346,,367647.0,,,,,,,,,,0.13255222037434577,0.13255222037434577,0.0,0.0,,0.0,,7.5e-06,
ce,42,segman_ce_seed42,done,48,63,0.8139719072174398,0.8139719072174398,0.9560919173935032,0.6718518970413764,,0.8037217868763753,,0.8682731294487689,,0.7481043347686477,0.9597135708909581,,0.000572577022476326,,1927921.0,,,,,,,,,,0.8551552047419834,0.9604311182902127,0.7498792911937541,,0.8570640214642373,,0.8664034900500445,,0.847923756703263,0.9646273812814286,,0.0007509832656164107,,2511368.0,,,,,,,,,,0.8212271552575712,0.9380761358657268,0.7043781746494155,,0.8265515073194405,,0.8431024193493069,,0.8106379049562067,0.9460380115174793,,0.0013251518781986847,,437349.0,,,,,,,,,,0.16126957535743713,0.16126957535743713,0.0,0.0,,0.0,,9.375e-07,
dice_ce,0,segman_dice_ce_seed0,done,44,59,0.8382377261218161,0.8382377261218161,0.9597669402649656,0.7167085119786666,,0.8349798547367755,,0.8320761273469707,,0.8379039195926001,0.9634838116801288,,0.000847248403886569,,2253277.0,,,,,,,,,,0.8388851467088018,0.954347471808335,0.7234228216092685,,0.8395186747425836,,0.8265483851475875,,0.8529025163078149,0.9592173303718747,,0.0009748025707186517,,2647920.0,,,,,,,,,,0.8362804433767369,0.9425145690838883,0.7300463176695855,,0.8439615867082398,,0.8396977630373422,,0.8482689331316613,0.9502488828602961,,0.0016517160752473785,,459507.0,,,,,,,,,,0.4880916857719421,0.1527155315876007,0.3353761541843414,0.0,,0.0,,7.5e-06,
dice_ce,1,segman_dice_ce_seed1,done,31,46,0.8240245787674552,0.8240245787674552,0.9560642159662238,0.6919849415686865,,0.8179563831426632,,0.8211175973072028,,0.8148194162955481,0.9600113329941647,,0.0007038066048531866,,2220442.0,,,,,,,,,,0.8378478098198212,0.9547010027715569,0.7209946168680856,,0.8378813156082636,,0.8378871930368093,,0.8378754382621728,0.9594480129930902,,0.0008301968536903205,,2566065.0,,,,,,,,,,0.7945793675549407,0.9280842996578964,0.6610744354519851,,0.7959600380847521,,0.8174312989480513,,0.7755878680220901,0.9369310781901901,,0.001588257093724816,,431580.0,,,,,,,,,,0.5111498618125916,0.18838569551706313,0.32276417016983033,0.0,,0.0,,1.5e-05,
dice_ce,2,segman_dice_ce_seed2,done,64,79,0.8331760656882254,0.8331760656882254,0.9599664754101239,0.7063856559663269,,0.8279320134888271,,0.8615871423483606,,0.7968073006629857,0.9634835160368027,,0.0010123203154726043,,2069367.0,,,,,,,,,,0.858047583434805,0.9611146302451395,0.7549805366244705,,0.8603862218057416,,0.8653247546193757,,0.8555037389409068,0.9652752714322457,,0.0011864371684392385,,2536977.0,,,,,,,,,,0.84609470628009,0.9491898636475432,0.7429995489126368,,0.8525527724618792,,0.9029097336083204,,0.8075160927222202,0.9556976304259515,,0.0016568854866635424,,406807.0,,,,,,,,,,0.466980859041214,0.15417590707540513,0.31280495405197145,0.0,,0.0,,9.375e-07,
dice_ce,3,segman_dice_ce_seed3,done,15,30,0.8096971281798792,0.8096971281798792,0.9523662581315784,0.6670279982281799,,0.8002601023343799,,0.8107097130404796,,0.7900764433400891,0.956515646307107,,0.0005690065015047158,,2180656.0,,,,,,,,,,0.8337151934219585,0.9539314626707901,0.713498924173127,,0.8327976330856887,,0.8429299245591968,,0.8229060352651747,0.9586728647979051,,0.0006387488607363549,,2505143.0,,,,,,,,,,0.7874776243720916,0.9302455764883906,0.6447096722557926,,0.7839799122376955,,0.8776560827393096,,0.7083721727813148,0.9380828261237214,,0.0009909226918087823,,367129.0,,,,,,,,,,0.6035890877246857,0.23081137299537657,0.3727777111530304,0.0,,0.0,,6e-05,
dice_ce,42,segman_dice_ce_seed42,done,23,38,0.798310557347823,0.798310557347823,0.9514126306792443,0.6452084840164016,,0.7843485981074838,,0.8390552432168175,,0.7363390768254451,0.9553572172079198,,0.0005425380743021275,,1963680.0,,,,,,,,,,0.8321157193902377,0.9535510357540568,0.7106804030264186,,0.8308745476585007,,0.8432710691450339,,0.8188372164618618,0.9583079544270958,,0.0006705226285993892,,2491748.0,,,,,,,,,,0.7952230695588478,0.9274661504850559,0.6629799886326398,,0.7973397072297487,,0.8076629009231296,,0.7872770762249816,0.9365234507804723,,0.0011290707555166087,,443383.0,,,,,,,,,,0.5725704866647721,0.2170337399840355,0.3555367481708527,0.0,,0.0,,1.5e-05,
