condition,lambda_topo,tag,status,best_epoch,last_epoch,best_val_miou,val_mean_iou,val_iou_water,val_f1_water,val_precision_water,val_recall_water,val_topo_violation_fraction,test_mean_iou,test_iou_water,test_f1_water,test_precision_water,test_recall_water,test_topo_violation_fraction,bolivia_mean_iou,bolivia_iou_water,bolivia_f1_water,bolivia_precision_water,bolivia_recall_water,bolivia_topo_violation_fraction,val_delta_vs_baseline,test_delta_vs_baseline,bolivia_delta_vs_baseline,train_loss_total,train_loss_topo,train_loss_dice,train_loss_ce,lambda_topo_epoch,effective_topo_contribution
dice_ce_topo,1.0,segman_n100_topo_lambda1p0_seed0,done,40,55,0.8493536089354785,0.8493536089354785,0.7366090364292985,0.8483303046077264,0.8283992040655351,0.8692441248567107,0.0010778833599802866,0.8514348697031466,0.7446781155723685,0.8536567392295917,0.8388410819237008,0.8690051560714095,0.001089557053671246,0.8442076530375897,0.7432465669970069,0.8527153657641856,0.8420610389220659,0.8636427591543846,0.0016816630103479138,-0.005203825386654537,-0.010033261086633383,0.0008316603908176123,0.4391480350494385,0.01309800021117553,0.2827900779247284,0.14325995195657015,1.0,0.030742868894586755
dice_ce_topo_dem_shuffled,1.0,segman_n100_topo_dem_shuffled_lambda1p0_seed0,done,30,45,0.8462577622014288,0.8462577622014288,0.7300851359050764,0.8439875249527994,0.8514406457061695,0.8366637543266126,0.0009736137982731201,0.858292050514998,0.7554525217838116,0.8606926275808985,0.864292582598407,0.8571225372656806,0.0009467959298712674,0.8414932293609243,0.7390675733857761,0.8499584313988348,0.8361734306432709,0.86420556474023,0.0016000219610857404,-0.00829967212070426,-0.0031760802747820005,-0.0018827632858477994,0.5080455228686332,0.02134675761219114,0.32453973770141603,0.1621590307354927,1.0,0.043860307435641975
dice_ce_topo,2.0,segman_n100_topo_lambda2p0_seed0,done,34,49,0.8471283533199447,0.8471283533199447,0.7310955294043163,0.8446622580741018,0.8645063483039606,0.8257087376905218,0.0010443256375152258,0.8641218361197237,0.7648513819504369,0.8667601020377779,0.8833941865024528,0.8507408710724949,0.0009796868457458393,0.8435184584896928,0.7413152103360999,0.8514428702348669,0.8542304245361304,0.8486734496464877,0.001670076398553064,-0.007429081002188309,0.0026537053299436897,0.00014246584292065823,0.5111863806843757,0.015611467957496643,0.30683229804039003,0.1731311469525099,2.0,0.06505273732972554
dice_ce_topo_dem_shuffled,2.0,segman_n100_topo_dem_shuffled_lambda2p0_seed0,done,34,49,0.8494823287777974,0.8494823287777974,0.735364298390841,0.847504237666668,0.8623974848632885,0.8331166582126872,0.0009002111316321199,0.8607934536915436,0.758967173289008,0.8629691159839575,0.8850127960625483,0.8419968660625595,0.000924089247032108,0.8484270639116898,0.7486583917886547,0.8562660326387392,0.8701515065539353,0.8428167540187836,0.0015725706039102498,-0.005075105544335656,-0.0006746770982364314,0.0050510712649176615,0.49111535146832463,0.01910532561596483,0.2935775589942932,0.15932713858783246,2.0,0.08436797285592491
dice_ce_topo,4.0,segman_n100_topo_lambda4p0_seed0,done,32,47,0.8473104845860155,0.8473104845860155,0.7327824121945614,0.8457869921088311,0.8327566125809586,0.8592316338227703,0.001164817783636882,0.8516155185969344,0.7441961779725215,0.8533399939421789,0.8552689473535868,0.8514197219828837,0.001119694069796446,0.8419684273675725,0.7393989616083314,0.850177535951439,0.8432360541937437,0.8572342502374336,0.0017538565146081328,-0.007246949736117503,-0.009852612192845611,-0.0014075652791996074,0.49276850998401645,0.013064199928194284,0.2883033388853073,0.152208370231092,4.0,0.11862749305256035
dice_ce_topo_dem_shuffled,4.0,segman_n100_topo_dem_shuffled_lambda4p0_seed0,done,34,49,0.844911647348663,0.844911647348663,0.728486242859429,0.8429181844737123,0.8336148608045144,0.8524315060075394,0.0009567443803492808,0.8551013260367086,0.7506345012922685,0.8575570751498061,0.8478114329369308,0.8675293762794216,0.0009500694333469357,0.8370008226682576,0.7342444664542245,0.8467600510272176,0.7997494522933324,0.8996425305146154,0.0015789878042889358,-0.009645786973470072,-0.006366804753071387,-0.0063751699785145055,0.5573565977811813,0.020324192754924298,0.3034874039888382,0.17257242307066917,4.0,0.17077007216056295
