condition,condition_label,seed,img_idx,tile_id,iou_water,f1_water,precision_water,recall_water,accuracy,pred_water_ratio,gt_water_ratio
ce,CE,0,0,Ghana_1078550,0.7761271613023196,0.873954448941184,0.9597415338781429,0.8022453481115258,0.9070926575599678,0.3356040737082326,0.4014896056859339
ce,CE,0,1,Ghana_141271,0.8731834891805821,0.932298888433463,0.9627256962147895,0.9037365218995399,0.9135458803935371,0.618319358826646,0.6586786311991725
ce,CE,0,2,Ghana_167233,0.0,0.0,0.0,0.0,0.9939502936839711,0.0001147951862551897,0.005934911129393307
ce,CE,0,3,Ghana_313799,0.9009516654031937,0.9478953455789181,0.9721659235107125,0.9248071979315577,0.9962239651702576,0.03533051045689544,0.03713976102616491
ce,CE,0,4,Ghana_319168,0.0003606202668459928,0.0007209804614015508,0.0003606202668459928,0.9999999000000099,0.9815859223971638,0.018420720487322052,6.642885137873081e-06
ce,CE,0,5,Ghana_359826,0.4622095287538304,0.6322069212914078,0.6144765455089073,0.6509910041664192,0.881981915250741,0.16507033907479474,0.15581144911598968
ce,CE,1,0,Ghana_1078550,0.6998195196426494,0.823404449806006,0.9747457168233951,0.7127424919384855,0.8772551290338257,0.29357266936884774,0.4014896056859339
ce,CE,1,1,Ghana_141271,0.8589668717836253,0.9241335479477846,0.9586434956805102,0.8920219862994886,0.9035296492212807,0.6129033614505454,0.6586786311991725
ce,CE,1,2,Ghana_167233,0.0,0.0,0.0,0.0,0.9940650888702263,0.0,0.005934911129393307
ce,CE,1,3,Ghana_313799,0.8600943757064138,0.9247856889834759,0.9910360029244522,0.8668380462613517,0.9947631982198718,0.03248535652738461,0.03713976102616491
ce,CE,1,4,Ghana_319168,6.154224875339072e-05,0.00012307691076847337,6.154224875339072e-05,0.9999999000000099,0.8920664022792456,0.10794024060529969,6.642885137873081e-06
ce,CE,1,5,Ghana_359826,0.3941177707225721,0.5654009226713681,0.4810870457799192,0.6855481606059916,0.8357900254685934,0.2220310301013635,0.15581144911598968
ce,CE,2,0,Ghana_1078550,0.8017577378657451,0.8899728037470622,0.8899225244560032,0.890023188731152,0.9116454920116357,0.40153502049343187,0.4014896056859339
ce,CE,2,1,Ghana_141271,0.8695385883465827,0.9302172708344049,0.8937465802984663,0.9697911812203739,0.904160394257317,0.7147224301344749,0.6586786311991725
ce,CE,2,2,Ghana_167233,0.0,0.0,0.0,0.0,0.9940650888702263,0.0,0.005934911129393307
ce,CE,2,3,Ghana_313799,0.9073267819267654,0.951411937215665,0.9657089897925896,0.937532133664042,0.9964435575876358,0.03605612018388478,0.03713976102616491
