img_idx,tile_id,iou_water_ce,iou_water_dice_ce,iou_water_topo,iou_water_shuffled,delta_dice_ce_minus_ce,delta_topo_minus_dice_ce,delta_shuffled_minus_topo,delta_shuffled_minus_dce
0,Ghana_1078550,0.7635572800497993,0.7831857968550195,0.782284453963279,0.7952363565579386,0.019628516805220264,-0.0009013428917405975,0.012951902594659614,0.012050559702919017
1,Ghana_141271,0.8653706363665219,0.872721756709927,0.8772723615429564,0.8772744223381593,0.0073511203434051264,0.004550604833029381,2.060795202929455e-06,0.004552665628232311
2,Ghana_167233,0.0,0.00025789813022192786,0.0,0.004872107186061382,0.00025789813022192786,-0.00025789813022192786,0.004872107186061382,0.004614209055839454
3,Ghana_313799,0.7975978601440286,0.7522175038784522,0.8009486440553719,0.7516166758637132,-0.04538035626557635,0.04873114017691971,-0.04933196819165875,-0.000600828014739041
4,Ghana_319168,0.00017097327153132213,0.00012177263204985353,6.630024174091464e-05,0.00011290905625323522,-4.9200639481468595e-05,-5.5472390308938896e-05,4.6608814512320585e-05,-8.863575796618311e-06
5,Ghana_359826,0.426097531007296,0.43754054128103803,0.43437250440796127,0.4197169249571163,0.011443010273742005,-0.0031680368730767627,-0.014655579450844947,-0.01782361632392171
